study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	cv	median	min	max	sd	se	unit	comments
Macha2014b	normal	12.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	10800.0	22.6	NA	NA	NA	2440.8	NA	nmol/l*hr	NA
Macha2014b	normal	12.0	EMP50	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1370.0	33.9	NA	NA	NA	464.43	NA	nmol/l	NA
Macha2014b	normal	12.0	EMP50	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	NA	2.0	1.0	4.0	NA	NA	hr	NA
Macha2014b	normal	12.0	EMP50	thalf	empagliflozin	plasma	HPLC MS/MS	24.0	hr	19.9	43.1	NA	NA	NA	8.5769	NA	hr	NA
Macha2014b	normal	12.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	96.0	hr	16.6	26.5	NA	NA	NA	4.399	NA	percent	NA
Macha2014b	normal	12.0	EMP50	clearance_renal	empagliflozin	plasma	HPLC MS/MS	24.0	hr	28.7	30.3	NA	NA	NA	8.6961	NA	ml/min	NA
Macha2014b	mild	8.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	13800.0	38.6	NA	NA	NA	5326.8	NA	nmol/l*hr	NA
Macha2014b	mild	8.0	EMP50	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1430.0	36.8	NA	NA	NA	526.24	NA	nmol/l	NA
Macha2014b	mild	8.0	EMP50	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	NA	1.5	0.7	4.0	NA	NA	hr	NA
Macha2014b	mild	8.0	EMP50	thalf	empagliflozin	plasma	HPLC MS/MS	24.0	hr	18.1	25.9	NA	NA	NA	4.6879	NA	hr	NA
Macha2014b	mild	8.0	EMP50	recovery	empagliflozin	urine	HPLC MS/MS	96.0	hr	15.2	20.6	NA	NA	NA	3.1312	NA	percent	NA
Macha2014b	mild	8.0	EMP50	clearance_renal	empagliflozin	plasma	HPLC MS/MS	24.0	hr	23.7	48.0	NA	NA	NA	11.376	NA	ml/min	NA
Macha2014b	moderate	8.0	EMP50	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	16100.0	26.2	NA	NA	NA	4218.2	NA	nmol/l*hr	NA
Macha2014b	moderate	8.0	EMP50	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1660.0	26.4	NA	NA	NA	438.24	NA	nmol/l	NA
Macha2014b	moderate	8.0	EMP50	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	NA	2.0	0.7	2.5	NA	NA	hr	NA
