study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	median	sd	se	min	max	cv	unit	comments
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	1.0	hr	13.9	NA	19.7	4.02124566106905	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	1.5	hr	61.7	NA	55.9	11.410539718465	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	2.0	hr	113.4	NA	106.7	21.7800462962471	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	2.5	hr	169.2	NA	101.4	20.6981883265179	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	3.0	hr	213.9	NA	112.1	22.8823166804995	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	3.5	hr	251.7	NA	92.8	18.9427206775232	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	4.0	hr	276.6	NA	83.0	16.9423040542503	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	6.0	hr	229.9	NA	49.0	10.0020831163646	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	8.0	hr	159.2	NA	32.2	6.5727974764682	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	12.0	hr	90.5	NA	16.8	3.42928563989645	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	24.0	hr	25.9	NA	5.1	1.04103314068285	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	36.0	hr	9.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	48.0	hr	6.7	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	test	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_test_fasting	72.0	hr	2.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	0.0	hr	0.0	NA	NA	NA	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	1.0	hr	36.8	NA	22.3	4.55196843867207	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	1.5	hr	74.6	NA	47.7	9.73672172756313	NA	NA	NA	ng/ml	NA
Li2020	NA	fasting	24.0	ref	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_ref_fasting	2.0	hr	135.3	NA	68.1	13.9008542902945	NA	NA	NA	ng/ml	NA
