study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Laffel2018	all	27.0	NA	species	27.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	healthy 	27.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	disease	27.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	sex	9.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	sex	18.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	ethnicity	3.0	NA	american indian	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	ethnicity	1.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	ethnicity	11.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	ethnicity	12.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	age	27.0	NA	NA	14.1	NA	2.0	NA	NA	NA	yr	NA
Laffel2018	all	27.0	NA	weight	27.0	NA	NA	96.7	NA	23.5	NA	NA	NA	kg	NA
Laffel2018	all	27.0	NA	bmi	27.0	NA	NA	35.5	NA	6.7	NA	NA	NA	kg/m^2	NA
Laffel2018	all	27.0	NA	smoking	26.0	NA	N	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	smoking	1.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	all	27.0	NA	clearance	27.0	glucose	NA	165.8	NA	25.8	NA	NA	NA	ml/min/(1.73*m^2)	eGFR
Laffel2018	all	27.0	NA	cumulative amount	27.0	glucose	NA	8.8	NA	22.1	NA	NA	NA	g	UGE
Laffel2018	all	27.0	NA	hba1c	27.0	glucose	NA	7.0	NA	1.2	NA	NA	NA	percent	NA
Laffel2018	all	27.0	NA	concentration	27.0	glucose	NA	7.7	NA	3.1	NA	NA	NA	mM	FPG
Laffel2018	EMP5	9.0	all	sex	3.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	EMP5	9.0	all	sex	6.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	EMP5	9.0	all	ethnicity	1.0	NA	asian	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	EMP5	9.0	all	ethnicity	3.0	NA	black	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	EMP5	9.0	all	ethnicity	5.0	NA	caucasian	NA	NA	NA	NA	NA	NA	NA	NA
Laffel2018	EMP5	9.0	all	age	9.0	NA	NA	13.7	NA	2.0	NA	NA	NA	yr	NA
