study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	se	sd	unit	comments
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	0.3	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	0.6	hr	NA	86.0	177.7	NA	92.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	1.0	hr	NA	154.7	355.4	NA	201.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	1.5	hr	NA	384.0	561.7	NA	178.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	2.0	hr	NA	469.9	573.1	NA	103.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	2.5	hr	NA	504.3	607.4	NA	103.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	3.0	hr	NA	515.7	613.1	NA	97.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	4.0	hr	NA	458.3	555.7	NA	97.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	6.0	hr	NA	314.8	389.3	NA	74.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	8.0	hr	NA	222.9	280.3	NA	57.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	10.0	hr	NA	159.7	205.6	NA	46.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	12.0	hr	NA	130.9	159.6	NA	29.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	23.0	hr	NA	38.3	44.0	NA	6.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	36.0	hr	NA	8.6	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	47.0	hr	NA	2.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25	71.0	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	0.3	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	0.6	hr	NA	86.0	171.9	NA	86.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	1.0	hr	NA	229.2	492.9	NA	264.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	1.5	hr	NA	458.5	659.1	NA	201.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	2.0	hr	NA	567.4	722.1	NA	155.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	2.5	hr	NA	630.4	790.9	NA	160.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	3.0	hr	NA	647.5	802.3	NA	155.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	4.0	hr	NA	630.2	767.8	NA	138.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	6.0	hr	NA	458.1	555.6	NA	98.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	8.0	hr	NA	349.0	423.6	NA	75.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	10.0	hr	NA	257.2	320.2	NA	63.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	12.0	hr	NA	216.9	262.7	NA	46.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	23.0	hr	NA	84.2	101.3	NA	17.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	36.0	hr	NA	31.5	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	47.0	hr	NA	19.1	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP25, GEM	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP25, GEM	71.0	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	0.0	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	0.3	hr	NA	56.7	109.4	NA	53.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	0.6	hr	NA	198.6	279.7	NA	81.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	1.0	hr	NA	283.7	352.6	NA	69.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	1.5	hr	NA	303.9	393.1	NA	89.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	2.0	hr	NA	271.4	372.8	NA	101.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	2.5	hr	NA	255.2	340.3	NA	85.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	3.0	hr	NA	234.9	311.9	NA	77.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	4.0	hr	NA	202.3	255.1	NA	53.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	6.0	hr	NA	133.3	169.8	NA	36.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	8.0	hr	NA	96.6	125.0	NA	28.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	12.0	hr	NA	59.8	72.0	NA	12.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	24.0	hr	NA	22.3	30.4	NA	8.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	36.0	hr	NA	13.2	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_R	48.0	hr	NA	4.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	0.0	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	0.3	hr	NA	109.4	279.7	NA	170.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	0.6	hr	NA	279.7	604.0	NA	324.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	1.0	hr	NA	352.6	604.0	NA	251.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	1.5	hr	NA	393.1	555.3	NA	162.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	2.0	hr	NA	372.8	490.4	NA	118.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	2.5	hr	NA	340.3	425.5	NA	85.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	3.0	hr	NA	311.9	393.0	NA	81.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	4.0	hr	NA	255.1	324.0	NA	69.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	6.0	hr	NA	169.8	238.7	NA	69.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	8.0	hr	NA	125.0	185.8	NA	61.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	12.0	hr	NA	72.0	108.4	NA	36.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	24.0	hr	NA	22.3	30.4	NA	8.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	36.0	hr	NA	13.2	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10, RIF	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10, RIF	48.0	hr	NA	4.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	0.3	hr	NA	0.0	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	0.6	hr	NA	6.8	NA	NA	NA	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	1.0	hr	NA	51.4	106.2	NA	55.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	1.5	hr	NA	284.3	277.4	NA	7.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	2.0	hr	NA	298.0	376.8	NA	79.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	2.5	hr	NA	274.1	393.9	NA	120.0	nmol/l	NA
Macha2014	NA	all	18.0	EMP10	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP10_P	3.0	hr	NA	253.5	356.3	NA	103.0	nmol/l	NA
