study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Sarashina2013	EMP1	6.0	EMP1	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	226.0	NA	NA	NA	52.206	NA	23.1	nmol/l*hr	NA
Sarashina2013	EMP1	6.0	EMP1	auc_end	empagliflozin	plasma	HPLC MS/MS	24.0	hr	247.0	NA	NA	NA	60.515	NA	24.5	nmol/l*hr	NA
Sarashina2013	EMP1	6.0	EMP1	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	36.6	NA	NA	NA	8.7474	NA	23.9	nmol/l	NA
Sarashina2013	EMP1	6.0	EMP1	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1.25	NA	1.0	2.0	NA	NA	NA	hr	NA
Sarashina2013	EMP1	6.0	EMP1	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	7.76	NA	NA	NA	1.07864	NA	13.9	hr	NA
Sarashina2013	EMP1	6.0	EMP1	clearance	empagliflozin	urine	HPLC MS/MS	NA	NA	145.0	NA	NA	NA	31.32	NA	21.6	ml/min	NA
Sarashina2013	EMP1	6.0	EMP1	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	23.3	NA	NA	NA	3.029	NA	13.0	percent	NA
Sarashina2013	EMP1	6.0	EMP1	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	32.4	NA	NA	NA	6.5448	NA	20.2	ml/min	NA
Sarashina2013	EMP5	6.0	EMP5	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	1140.0	NA	NA	NA	116.28	NA	10.2	nmol/l*hr	NA
Sarashina2013	EMP5	6.0	EMP5	auc_end	empagliflozin	plasma	HPLC MS/MS	24.0	hr	1120.0	NA	NA	NA	119.84	NA	10.7	nmol/l*hr	NA
Sarashina2013	EMP5	6.0	EMP5	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	166.0	NA	NA	NA	44.156	NA	26.6	nmol/l	NA
Sarashina2013	EMP5	6.0	EMP5	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	2.0	NA	0.75	2.0	NA	NA	NA	hr	NA
Sarashina2013	EMP5	6.0	EMP5	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	9.6	NA	NA	NA	1.9104	NA	19.9	hr	NA
Sarashina2013	EMP5	6.0	EMP5	clearance	empagliflozin	urine	HPLC MS/MS	NA	NA	163.0	NA	NA	NA	16.626	NA	10.2	ml/min	NA
Sarashina2013	EMP5	6.0	EMP5	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	22.4	NA	NA	NA	2.23328	NA	9.97	percent	NA
Sarashina2013	EMP5	6.0	EMP5	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	36.5	NA	NA	NA	3.49305	NA	9.57	ml/min	NA
Sarashina2013	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	2670.0	NA	NA	NA	283.02	NA	10.6	nmol/l*hr	NA
Sarashina2013	EMP10	6.0	EMP10	auc_end	empagliflozin	plasma	HPLC MS/MS	24.0	hr	2620.0	NA	NA	NA	282.96	NA	10.8	nmol/l*hr	NA
Sarashina2013	EMP10	6.0	EMP10	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	379.0	NA	NA	NA	73.526	NA	19.4	nmol/l	NA
Sarashina2013	EMP10	6.0	EMP10	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	1.5	NA	1.0	3.0	NA	NA	NA	hr	NA
Sarashina2013	EMP10	6.0	EMP10	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	9.88	NA	NA	NA	2.93436	NA	29.7	hr	NA
Sarashina2013	EMP10	6.0	EMP10	clearance	empagliflozin	urine	HPLC MS/MS	NA	NA	140.0	NA	NA	NA	13.818	NA	9.87	ml/min	NA
Sarashina2013	EMP10	6.0	EMP10	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	21.3	NA	NA	NA	3.1311	NA	14.7	percent	NA
Sarashina2013	EMP10	6.0	EMP10	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	29.9	NA	NA	NA	4.8438	NA	16.2	ml/min	NA
Sarashina2013	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	NA	6180.0	NA	NA	NA	828.12	NA	13.4	nmol/l*hr	NA
Sarashina2013	EMP25	6.0	EMP25	auc_end	empagliflozin	plasma	HPLC MS/MS	24.0	hr	6120.0	NA	NA	NA	813.96	NA	13.3	nmol/l*hr	NA
Sarashina2013	EMP25	6.0	EMP25	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	661.0	NA	NA	NA	68.744	NA	10.4	nmol/l	NA
Sarashina2013	EMP25	6.0	EMP25	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	2.0	NA	1.0	4.0	NA	NA	NA	hr	NA
Sarashina2013	EMP25	6.0	EMP25	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	11.7	NA	NA	NA	3.5217	NA	30.1	hr	NA
