study	name	group_count	parent	measurement_type	count	substance	choice	mean	median	sd	se	min	max	unit	comments
Sarashina2014	all	32.0	NA	species	32.0	NA	homo sapiens	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	healthy 	32.0	NA	Y	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	ethnicity	32.0	NA	japanese	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	sex	9.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	sex	23.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	age	32.0	NA	NA	NA	67.0	NA	NA	49.0	75.0	yr	NA
Sarashina2014	all	32.0	NA	weight	32.0	NA	NA	NA	63.35	NA	NA	45.1	77.0	kg	NA
Sarashina2014	all	32.0	NA	bmi	32.0	NA	NA	NA	24.5	NA	NA	18.3	28.7	kg/m^2	NA
Sarashina2014	all	32.0	NA	disease	32.0	NA	t2dm	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	all	32.0	NA	hba1c	32.0	glucose	NA	NA	7.08	NA	NA	6.5	9.6	percent	NA
Sarashina2014	normal	8.0	all	sex	4.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	normal	8.0	all	sex	4.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	normal	8.0	all	age	8.0	NA	NA	NA	66.5	NA	NA	62.0	71.0	yr	NA
Sarashina2014	normal	8.0	all	weight	8.0	NA	NA	NA	56.9	NA	NA	54.0	77.0	kg	NA
Sarashina2014	normal	8.0	all	bmi	8.0	NA	NA	NA	24.63	NA	NA	18.3	26.6	kg/m^2	NA
Sarashina2014	normal	8.0	all	hba1c	8.0	glucose	NA	NA	6.98	NA	NA	6.5	9.1	percent	NA
Sarashina2014	normal	8.0	all	clearance	8.0	glucose	NA	NA	NA	NA	NA	90.0	NA	ml/min/(1.73*m^2)	eGFR
Sarashina2014	mild	8.0	all	sex	5.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	mild	8.0	all	sex	3.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	mild	8.0	all	age	8.0	NA	NA	NA	68.0	NA	NA	60.0	74.0	yr	NA
Sarashina2014	mild	8.0	all	weight	8.0	NA	NA	NA	64.65	NA	NA	49.6	73.5	kg	NA
Sarashina2014	mild	8.0	all	bmi	8.0	NA	NA	NA	24.08	NA	NA	20.1	25.9	kg/m^2	NA
Sarashina2014	mild	8.0	all	hba1c	8.0	glucose	NA	NA	7.34	NA	NA	6.7	9.6	percent	NA
Sarashina2014	mild	8.0	all	clearance	8.0	glucose	NA	NA	NA	NA	NA	60.0	90.0	ml/min/(1.73*m^2)	eGFR
Sarashina2014	moderate	8.0	all	sex	8.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	moderate	8.0	all	age	8.0	NA	NA	NA	66.0	NA	NA	59.0	75.0	yr	NA
Sarashina2014	moderate	8.0	all	weight	8.0	NA	NA	NA	69.2	NA	NA	59.4	74.3	kg	NA
Sarashina2014	moderate	8.0	all	bmi	8.0	NA	NA	NA	24.63	NA	NA	23.0	28.6	kg/m^2	NA
Sarashina2014	moderate	8.0	all	hba1c	8.0	glucose	NA	NA	7.39	NA	NA	6.6	8.8	percent	NA
Sarashina2014	moderate	8.0	all	clearance	8.0	glucose	NA	NA	NA	NA	NA	30.0	60.0	ml/min/(1.73*m^2)	NA
Sarashina2014	severe	8.0	all	sex	6.0	NA	M	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	severe	8.0	all	sex	2.0	NA	F	NA	NA	NA	NA	NA	NA	NA	NA
Sarashina2014	severe	8.0	all	age	8.0	NA	NA	NA	60.0	NA	NA	49.0	72.0	yr	NA
Sarashina2014	severe	8.0	all	weight	8.0	NA	NA	NA	61.35	NA	NA	45.1	75.2	kg	NA
Sarashina2014	severe	8.0	all	bmi	8.0	NA	NA	NA	22.99	NA	NA	20.6	28.7	kg/m^2	NA
Sarashina2014	severe	8.0	all	hba1c	8.0	glucose	NA	NA	6.78	NA	NA	6.5	7.7	percent	NA
Sarashina2014	severe	8.0	all	clearance	8.0	glucose	NA	NA	NA	NA	NA	15.0	30.0	ml/min/(1.73*m^2)	eGFR
