study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-empagliflozin	plasma	radiochromatography/MS/MS	2.0	hr	NA	77.4	1320.0	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-empagliflozin	plasma	radiochromatography/MS/MS	6.0	hr	NA	75.5	638.0	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-empagliflozin	plasma	radiochromatography/MS/MS	12.0	hr	NA	76.2	283.0	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/3	plasma	radiochromatography/MS/MS	2.0	hr	NA	7.4	127.0	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/3	plasma	radiochromatography/MS/MS	6.0	hr	NA	6.3	53.4	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/3	plasma	radiochromatography/MS/MS	12.0	hr	NA	5.4	20.1	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/1	plasma	radiochromatography/MS/MS	2.0	hr	NA	6.2	109.0	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/1	plasma	radiochromatography/MS/MS	6.0	hr	NA	5.0	42.1	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/1	plasma	radiochromatography/MS/MS	12.0	hr	NA	5.2	19.3	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/2	plasma	radiochromatography/MS/MS	2.0	hr	NA	3.7	62.8	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/2	plasma	radiochromatography/MS/MS	6.0	hr	NA	6.0	49.4	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M626/2	plasma	radiochromatography/MS/MS	12.0	hr	NA	3.3	12.3	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M481/1	plasma	radiochromatography/MS/MS	2.0	hr	NA	1.2	24.3	NA	NA	nmol/l	C14-M482/1
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M481/1	plasma	radiochromatography/MS/MS	6.0	hr	NA	1.8	17.1	NA	NA	nmol/l	C14-M482/1
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M481/1	plasma	radiochromatography/MS/MS	12.0	hr	NA	3.1	11.5	NA	NA	nmol/l	C14-M482/1
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M464/1	plasma	radiochromatography/MS/MS	2.0	hr	NA	0.5	8.5	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M464/1	plasma	radiochromatography/MS/MS	6.0	hr	NA	0.4	3.1	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M464/1	plasma	radiochromatography/MS/MS	12.0	hr	NA	1.1	4.1	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M468/1	plasma	radiochromatography/MS/MS	2.0	hr	NA	0.4	5.6	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M468/1	plasma	radiochromatography/MS/MS	6.0	hr	NA	0.2	1.5	NA	NA	nmol/l	NA
Chen2015a	NA	all	8.0	EMP50, C14EMP	concentration	C14-M468/1	plasma	radiochromatography/MS/MS	12.0	hr	NA	NA	NA	NA	NA	nmol/l	NA
