study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	se	sd	unit	comments
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	0.33	hr	NA	0.91	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	0.67	hr	NA	1.91	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	1.0	hr	NA	1.96	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	1.5	hr	NA	1.59	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	2.0	hr	NA	1.24	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	2.5	hr	NA	1.01	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	3.0	hr	NA	0.85	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	4.0	hr	NA	0.68	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	6.0	hr	NA	0.46	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	8.0	hr	NA	0.39	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	10.0	hr	NA	0.36	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	12.0	hr	NA	0.33	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	24.0	hr	NA	0.35	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	48.0	hr	NA	0.21	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	72.0	hr	NA	0.18	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	dig05_single	concentration	digoxin	plasma	HPLC MS/MS	dig05_single	96.0	hr	NA	0.14	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	0.33	hr	NA	0.9	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	0.67	hr	NA	2.11	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	1.0	hr	NA	2.16	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	1.5	hr	NA	1.76	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	2.0	hr	NA	1.35	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	2.5	hr	NA	1.08	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	3.0	hr	NA	0.95	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	4.0	hr	NA	0.77	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	6.0	hr	NA	0.47	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	8.0	hr	NA	0.42	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	10.0	hr	NA	0.39	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	12.0	hr	NA	0.36	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	24.0	hr	NA	0.4	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	48.0	hr	NA	0.25	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	72.0	hr	NA	0.2	NA	NA	NA	ng/ml	NA
Macha2013d	NA	emp_digoxin	20.0	emp25_single, dig05_single	concentration	digoxin	plasma	HPLC MS/MS	emp25_single, dig05_single	96.0	hr	NA	0.17	NA	NA	NA	ng/ml	NA
