study	condition	class	parameter	dose	dose_unit	substance	n	mean	sd	median	Q1	Q3	min	max	unit	day	diabetes	hba1c	fpg
Macha2014f	normal	renal_impairment	UGE_24	50	mg	glucose	8	102.576	21.496						g	1	T2DM	-	-
Macha2014f	mild	renal_impairment	UGE_24	50	mg	glucose	9	66.363	18.467						g	1	T2DM	-	-
Macha2014f	moderate	renal_impairment	UGE_24	50	mg	glucose	7	47.79	32.766						g	1	T2DM	-	-
Macha2014f	severe	renal_impairment	UGE_24	50	mg	glucose	8	20.722	8.548						g	1	T2DM	-	-
Macha2014f	normal	renal_impairment	aucinf	50	mg	empagliflozin	8	10600	1738.4						nmol/l*hr		T2DM	-	-
Macha2014f	normal	renal_impairment	cmax	50	mg	empagliflozin	8	1240	291.4						nmol/l		T2DM	-	-
Macha2014f	normal	renal_impairment	tmax	50	mg	empagliflozin	8			1			1	3	hr		T2DM	-	-
Macha2014f	normal	renal_impairment	thalf	50	mg	empagliflozin	8	19.9	11.7						hr		T2DM	-	-
Macha2014f	mild	renal_impairment	aucinf	50	mg	empagliflozin	9	12700	2641.6						nmol/l*hr		T2DM	-	-
Macha2014f	mild	renal_impairment	cmax	50	mg	empagliflozin	9	1500	441						nmol/l		T2DM	-	-
Macha2014f	mild	renal_impairment	tmax	50	mg	empagliflozin	9			2.5			2	4	hr		T2DM	-	-
Macha2014f	mild	renal_impairment	thalf	50	mg	empagliflozin	9	24.6	20.8						hr		T2DM	-	-
Macha2014f	moderate	renal_impairment	aucinf	50	mg	empagliflozin	7	13000	3263						nmol/l*hr		T2DM	-	-
Macha2014f	moderate	renal_impairment	cmax	50	mg	empagliflozin	7	1290	488.9						nmol/l		T2DM	-	-
Macha2014f	moderate	renal_impairment	tmax	50	mg	empagliflozin	7			2			1.5	3	hr		T2DM	-	-
Macha2014f	moderate	renal_impairment	thalf	50	mg	empagliflozin	7	23.8	20.9						hr		T2DM	-	-
Macha2014f	severe	renal_impairment	aucinf	50	mg	empagliflozin	8	17700	3150.6						nmol/l*hr		T2DM	-	-
Macha2014f	severe	renal_impairment	cmax	50	mg	empagliflozin	8	1520	480.3						nmol/l		T2DM	-	-
Macha2014f	severe	renal_impairment	tmax	50	mg	empagliflozin	8			2			0.7	4	hr		T2DM	-	-
Macha2014f	severe	renal_impairment	thalf	50	mg	empagliflozin	8	27.9	21.4						hr		T2DM	-	-
#																			
Sarashina2014	normal	renal_impairment	UGE_24	25	mg	glucose	8	77.9	20.9						g	1	T2DM	6.98	-
Sarashina2014	mild	renal_impairment	UGE_24	25	mg	glucose	8	65.8	19.8						g	1	T2DM	7.34	-
Sarashina2014	moderate	renal_impairment	UGE_24	25	mg	glucose	8	59.2	13.2						g	1	T2DM	7.39	-
Sarashina2014	severe	renal_impairment	UGE_24	25	mg	glucose	8	21.8	12.1						g	1	T2DM	6.78	-
Sarashina2014	normal	renal_impairment	aucinf	25	mg	empagliflozin	8	7560	1126.44						nmol/l*hr		T2DM	6.98	-
Sarashina2014	normal	renal_impairment	cmax	25	mg	empagliflozin	8	1070	193.67						nmol/l		T2DM	6.98	-
Sarashina2014	normal	renal_impairment	tmax	25	mg	empagliflozin	8			2.5			1	2.5	hr		T2DM	6.98	-
#Sarashina2014	normal	renal_impairment	thalf	25	mg	empagliflozin	8	19.1	108						hr		T2DM	6.98	-
Sarashina2014	mild	renal_impairment	aucinf	25	mg	empagliflozin	8	9730	1430.31						nmol/l*hr		T2DM	7.34	-
Sarashina2014	mild	renal_impairment	cmax	25	mg	empagliflozin	8	1030	354.32						nmol/l		T2DM	7.34	-
Sarashina2014	mild	renal_impairment	tmax	25	mg	empagliflozin	8			2.5			1	4	hr		T2DM	7.34	-
#Sarashina2014	mild	renal_impairment	thalf	25	mg	empagliflozin	8	18.4	62						hr		T2DM	7.34	-
Sarashina2014	moderate	renal_impairment	aucinf	25	mg	empagliflozin	8	10800	991.44						nmol/l*hr		T2DM	7.39	-
Sarashina2014	moderate	renal_impairment	cmax	25	mg	empagliflozin	8	1000	264						nmol/l		T2DM	7.39	-
Sarashina2014	moderate	renal_impairment	tmax	25	mg	empagliflozin	8			2.5			667	6	hr		T2DM	7.39	-
#Sarashina2014	moderate	renal_impairment	thalf	25	mg	empagliflozin	8	24.3	95						hr		T2DM	7.39	-
Sarashina2014	severe	renal_impairment	aucinf	25	mg	empagliflozin	8	12200	4892.2						nmol/l*hr		T2DM	6.78	-
Sarashina2014	severe	renal_impairment	cmax	25	mg	empagliflozin	8	1070	452.61						nmol/l		T2DM	6.78	-
Sarashina2014	severe	renal_impairment	tmax	25	mg	empagliflozin	8			3.25			1	6	hr		T2DM	6.78	-
#Sarashina2014	severe	renal_impairment	thalf	25	mg	empagliflozin	8	19.4	87						hr		T2DM	6.78	-
