study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	median	min	max	sd	se	cv	unit	comments
Seman2013	placebo	16.0	placebo	concentration	glucose	urine	HPLC MS/MS	NA	NA	0.058	NA	NA	NA	0.019952	NA	34.4	g	NA
Seman2013	EMP0.5	6.0	EMP0.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	hr	61.2	NA	NA	NA	17.2	NA	NA	nmol/l*hr	NA
Seman2013	EMP0.5	6.0	EMP0.5	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	9.33	NA	NA	NA	3.73	NA	NA	nmol/l	NA
Seman2013	EMP0.5	6.0	EMP0.5	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	1.5	1.0	3.0	NA	NA	NA	hr	NA
Seman2013	EMP0.5	6.0	EMP0.5	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	5.6	NA	NA	NA	0.7	NA	NA	hr	NA
Seman2013	EMP0.5	6.0	EMP0.5	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	15.2	NA	NA	NA	4.4	NA	NA	percent	NA
Seman2013	EMP0.5	6.0	EMP0.5	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	51.3	NA	NA	NA	11.5	NA	NA	ml/min	NA
Seman2013	EMP0.5	6.0	EMP0.5	concentration	glucose	urine	HPLC MS/MS	NA	NA	3.12	NA	NA	NA	1.8096	NA	58.0	g	UGE
Seman2013	EMP2.5	6.0	EMP2.5	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	hr	396.0	NA	NA	NA	43.4	NA	NA	nmol/l*hr	NA
Seman2013	EMP2.5	6.0	EMP2.5	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	53.2	NA	NA	NA	6.23	NA	NA	nmol/l	NA
Seman2013	EMP2.5	6.0	EMP2.5	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	1.8	1.0	3.0	NA	NA	NA	hr	NA
Seman2013	EMP2.5	6.0	EMP2.5	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	8.6	NA	NA	NA	0.6	NA	NA	hr	NA
Seman2013	EMP2.5	6.0	EMP2.5	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	17.4	NA	NA	NA	2.6	NA	NA	percent	NA
Seman2013	EMP2.5	6.0	EMP2.5	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	41.3	NA	NA	NA	9.1	NA	NA	ml/min	NA
Seman2013	EMP0.5	6.0	EMP2.5	concentration	glucose	urine	HPLC MS/MS	NA	NA	30.6	NA	NA	NA	8.3232	NA	27.2	g	UGE
Seman2013	EMP10	6.0	EMP10	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	hr	1730.0	NA	NA	NA	377.0	NA	NA	nmol/l*hr	NA
Seman2013	EMP10	6.0	EMP10	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	226.0	NA	NA	NA	46.0	NA	NA	nmol/l	NA
Seman2013	EMP10	6.0	EMP10	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	1.5	1.0	2.0	NA	NA	NA	hr	NA
Seman2013	EMP10	6.0	EMP10	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	13.1	NA	NA	NA	4.0	NA	NA	hr	NA
Seman2013	EMP10	6.0	EMP10	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	18.6	NA	NA	NA	2.5	NA	NA	percent	NA
Seman2013	EMP10	6.0	EMP10	clearance_renal	empagliflozin	urine	HPLC MS/MS	72.0	hr	41.1	NA	NA	NA	4.1	NA	NA	ml/min	NA
Seman2013	EMP10	6.0	EMP10	concentration	glucose	urine	HPLC MS/MS	NA	NA	47.6	NA	NA	NA	6.6164	NA	13.9	g	UGE
Seman2013	EMP25	6.0	EMP25	auc_inf	empagliflozin	plasma	HPLC MS/MS	NA	hr	3830.0	NA	NA	NA	825.0	NA	NA	nmol/l*hr	NA
Seman2013	EMP25	6.0	EMP25	cmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	505.0	NA	NA	NA	130.0	NA	NA	nmol/l	NA
Seman2013	EMP25	6.0	EMP25	tmax	empagliflozin	plasma	HPLC MS/MS	NA	NA	NA	2.1	1.0	3.0	NA	NA	NA	hr	NA
Seman2013	EMP25	6.0	EMP25	thalf	empagliflozin	plasma	HPLC MS/MS	NA	NA	10.2	NA	NA	NA	2.1	NA	NA	hr	NA
Seman2013	EMP25	6.0	EMP25	recovery	empagliflozin	urine	HPLC MS/MS	72.0	hr	15.0	NA	NA	NA	2.4	NA	NA	percent	NA
