study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	traw	mean_unit	value_unit
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	0.720793619918296	hr		54.9786253452403					0.720793619918296	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	2.68710367632753	hr		64.3843917725517					2.68710367632753	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	3.19502042404201	hr		49.5076293852419					3.19502042404201	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	3.20622446994747	hr		40.1231217081813					3.20622446994747	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	4.69822991635867	hr		30.8555316550857					4.69822991635867	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	6.69068274654736	hr		25.0120442196531					6.69068274654736	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	8.6812682357518	hr		17.3188470170085					8.6812682357518	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	13.1572845749853	hr		10.7974259316671					13.1572845749853	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	16.1450301497762	hr		7.09500231271538					16.1450301497762	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	25.0765220774168	hr		4.42718916023984					25.0765220774168	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	30.0380470725539	hr		2.91036544952523					30.0380470725539	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	35.4944174285158	hr		2.01649905957652					35.4944174285158	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	96.0	hr		4.48285953899702					95.4929577464788	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	120.0	hr		5.27132362166922					119.830985915492	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	144.0	hr		5.88039355193324					144.169014084507	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	168.0	hr		4.54069717405162					167.492957746478	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.0	hr		5.33760870051913					192.505263157894	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr		11.7464343514621					192.505263157894	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr		31.8896112668075					192.505263157894	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	192.505263157894	hr		39.3525995437898					192.505263157894	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	193.010526315789	hr		73.9752401502883					193.010526315789	nmol/l	nmol/l
Heise2013		all	9.0	EMP2.5	concentration	empagliflozin	plasma	LC MS/MS	empagliflozin_EMP2.5	194.021052631578	hr		59.9527305346345					194.021052631578	nmol/l	nmol/l
